"code_rome","code_fiche_metier","code_ogr","libelle_rome","transition_eco","transition_num","transition_demo","emploi_reglemente","emploi_cadre","code_rome_parent"
"F1301","184","154","Grutier / Grutière","Emploi Blanc","N","N","O","N","F1301"
"F1302","182","155","Conducteur / Conductrice d'engins de chantier","Emploi Blanc","N","N","O","N","F1302"
"F1401","187","156","Foreur / Foreuse","Emploi Brun","","","","","F1401"
"F1402","185","157","Extracteur / Extractrice de roches","Emploi Brun","","","","","F1402"
"F1501","190","158","Poseur / Poseuse de charpentes ou constructions bois","Emploi stratégique pour la Transition écologique","","","","","F1501"
"F1502","188","159","Échafaudeur / Échafaudeuse","Emploi Blanc","","","","","F1502"
"F1503","192","160","Charpentier / Charpentière","Emploi stratégique pour la Transition écologique","N","N","N","N","F1503"
"F1504","32727","488871","Charpentier / Charpentière de marine","Emploi stratégique pour la Transition écologique","N","N","N","N","F1503"
"F1601","220","161","Plâtrier / Plâtrière","Emploi Blanc","N","N","N","N","F1601"
"F1602","199","162","Électricien / Électricienne du bâtiment","Emploi stratégique pour la Transition écologique","","","","","F1602"
"F1603","204","163","Plombier / Plombière","Emploi stratégique pour la Transition écologique","","","","","F1603"
"F1604","207","164","Plaquiste","Emploi Blanc","N","N","N","N","F1604"
"F1605","201","165","Électricien / Électricienne réseaux","Emploi stratégique pour la Transition écologique","N","","","","F1605"
"F1606","212","166","Peintre en bâtiment","Emploi Blanc","","","","","F1606"
"F1607","30029","167","Menuisier / Menuisière aluminium","Emploi stratégique pour la Transition écologique","","","","","F1607"
"F1608","209","168","Carreleur / Carreleuse","Emploi Blanc","","","O","","F1608"
"F1609","211","169","Solier / Solière","Emploi Blanc","N","N","N","N","F1609"
"F1610","196","170","Installateur mainteneur / Installatrice mainteneuse en systèmes solaires, thermiques et photovoltaïques","Emploi stratégique pour la Transition écologique","N","N","N","N","F1610"
"F1611","215","171","Façadier / Façadière","Emploi stratégique pour la Transition écologique","","","","","F1611"
"F1612","217","172","Tailleur / Tailleuse de pierre","Emploi Blanc","N","N","N","N","F1612"
"F1613","197","173","Étancheur / Étancheuse","Emploi stratégique pour la Transition écologique","","","","","F1613"
"F1614","206","403073","Poseur / Poseuse en fermetures de bâtiment","Emploi stratégique pour la Transition écologique","","","","","F1607"
"F1615","30025","403080","Poseur / Poseuse de cloisons démontables et mobiles","Emploi stratégique pour la Transition écologique","","","","","F1604"
"F1616","30026","403081","Poseur / Poseuse de menuiseries extérieures","Emploi stratégique pour la Transition écologique","","","","","F1607"
"F1617","30028","403082","Poseur / Poseuse de véranda","Emploi Blanc","","","","","F1607"
"F1618","30027","403083","Poseur / Poseuse de façade vitrée","Emploi Blanc","","","","","F1611"
"F1619","30062","404037","Couvreur / Couvreuse","Emploi stratégique pour la Transition écologique","","","O","","F1610"
"F1620","30098","404539","Installateur / Installatrice chauffage et climatisation","Emploi stratégique pour la Transition écologique","","","","","F1603"
"F1621","32554","488572","Ramoneur / Ramoneuse","Emploi Blanc","N","N","O","N","F1603"
"F1622","32768","488912","Monteur / Monteuse en éclairage public","Emploi stratégique pour la Transition écologique","N","N","N","N","F1605"
"F1623","32814","489030","Monteur / Monteuse installation réseaux mobiles","Emploi Blanc","O","N","N","N","F1605"
"F1624","32868","489084","Staffeur Stuqueur / Staffeuse Stuqueuse","Emploi Blanc","N","N","N","N","F1601"
"F1625","32900","489189","Monteur / Monteuse en agencement","Emploi stratégique pour la Transition écologique","N","N","N","N","F1604"
"F1701","227","174","Coffreur / Coffreuse","Emploi stratégique pour la Transition écologique","","","","","F1701"
"F1702","224","175","Ouvrier / Ouvrière en voiries","Emploi Blanc","","","","","F1702"
"F1703","229","176","Maçon / Maçonne","Emploi stratégique pour la Transition écologique","","","","","F1703"
"F1704","222","177","Manœuvre bâtiment","Emploi stratégique pour la Transition écologique","","","","","F1704"
"F1705","225","178","Poseur / Poseuse de canalisations","Emploi Blanc","N","N","N","N","F1705"
